SOLAR RADIATION IN W/m2 (UNTERHACHING);;;
I_Gh;I_Dh;I_ex;hs
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
1.375976563;0;10;0
35.375;18.64467825;208;4.532455272
104.65625;60.88373282;368;11.97839607
135.8125;76.75926154;479;17.76315695
137.6875;76.35410921;534;21.40739786
119.40625;67.29790828;528;22.53215294
149.5625;86.88695083;463;21.00545688
210.3125;127.5773586;343;17.00459655
118.65625;78.17049776;176;10.93381106
16.953125;19.80706355;0;3.275669227
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.769287109;0;14;0
29.65625;15.95543385;212;4.692561773
79.28125;46.77834274;372;12.15908286
154.125;86.00463903;484;17.96603653
266.625;138.433842;539;21.63064218
345.875;173.9127379;534;22.76995119
341.125;178.4394163;469;21.24947371
256.375;150.6975897;349;17.24694327
136.9375;86.41675166;181;11.16932418
21.9765625;24.71495887;0;3.502343874
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
1.875488281;0;17;0
38.484375;20.28780333;216;4.859012956
100.40625;58.28876209;377;12.34616885
166.1875;91.88586521;489;18.17532037
238.375;125.1568392;544;21.86015747
282.125;146.0714675;539;23.0136672
313.75;166.2069038;475;21.49882741
259.25;151.8171033;355;17.49391183
139.3125;87.62753647;187;11.40874563
23.0703125;25.89640193;0;3.732318867
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
3.075195313;0;21;0
60.375;30.10916969;220;5.031768931
123.84375;70.64590198;382;12.53960436
186.5625;101.7662522;494;18.39094956
264.625;136.7324755;550;22.09587569
295.5;151.5182972;545;23.26322316
273;147.4143346;481;21.75343027
203.3125;123.080898;361;17.74540697
108.65625;79.63733926;193;11.65197719
20.296875;23.41857174;0;3.965497917
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
