Unterchaching_mod;;;;;;;;;
bid;footprint_area;use;free_walls;lat;lon;NUTS_0;NUTS_1;NUTS_2;NUTS_3
247;963.131;1;2;48.066;11.620;Germany;Bavaria;Munich;Unterhaching
248;116.696;3;3;48.067;11.627;Germany;Bavaria;Munich;Unterhaching
249;167.108;3;4;48.064;11.617;Germany;Bavaria;Munich;Unterhaching
250;573.308;0;4;48.064;11.614;Germany;Bavaria;Munich;Unterhaching
251;74.988;1;3;48.066;11.620;Germany;Bavaria;Munich;Unterhaching
252;355.460;3;3;48.065;11.617;Germany;Bavaria;Munich;Unterhaching
253;140.167;3;3;48.065;11.618;Germany;Bavaria;Munich;Unterhaching
254;571.278;1;4;48.066;11.622;Germany;Bavaria;Munich;Unterhaching
255;519.797;3;4;48.063;11.615;Germany;Bavaria;Munich;Unterhaching
256;136.395;3;4;48.067;11.618;Germany;Bavaria;Munich;Unterhaching
257;582.767;3;4;48.067;11.626;Germany;Bavaria;Munich;Unterhaching
258;548.510;3;4;48.063;11.616;Germany;Bavaria;Munich;Unterhaching
259;371.560;0;4;48.067;11.627;Germany;Bavaria;Munich;Unterhaching
260;706.848;1;4;48.066;11.621;Germany;Bavaria;Munich;Unterhaching
261;160.964;3;4;48.064;11.616;Germany;Bavaria;Munich;Unterhaching
262;271.597;3;4;48.067;11.618;Germany;Bavaria;Munich;Unterhaching
263;82.175;3;4;48.062;11.616;Germany;Bavaria;Munich;Unterhaching
264;128.353;1;3;48.066;11.621;Germany;Bavaria;Munich;Unterhaching
265;132.918;3;4;48.065;11.617;Germany;Bavaria;Munich;Unterhaching
266;78.778;3;4;48.067;11.619;Germany;Bavaria;Munich;Unterhaching
267;113.585;3;4;48.064;11.616;Germany;Bavaria;Munich;Unterhaching
268;336.235;3;4;48.062;11.616;Germany;Bavaria;Munich;Unterhaching
269;227.186;1;4;48.066;11.620;Germany;Bavaria;Munich;Unterhaching
270;123.585;3;2;48.067;11.627;Germany;Bavaria;Munich;Unterhaching
271;1125.857;3;4;48.067;11.625;Germany;Bavaria;Munich;Unterhaching
272;252.894;3;4;48.064;11.616;Germany;Bavaria;Munich;Unterhaching
273;144.427;3;4;48.064;11.614;Germany;Bavaria;Munich;Unterhaching
274;85.356;1;2;48.066;11.620;Germany;Bavaria;Munich;Unterhaching
275;153.676;3;3;48.065;11.616;Germany;Bavaria;Munich;Unterhaching
276;262.479;3;3;48.065;11.618;Germany;Bavaria;Munich;Unterhaching
277;181.490;1;4;48.066;11.621;Germany;Bavaria;Munich;Unterhaching
278;772.396;3;4;48.066;11.624;Germany;Bavaria;Munich;Unterhaching
279;222.009;3;4;48.063;11.615;Germany;Bavaria;Munich;Unterhaching
280;126.820;1;2;48.066;11.620;Germany;Bavaria;Munich;Unterhaching
281;539.587;3;4;48.064;11.615;Germany;Bavaria;Munich;Unterhaching
282;469.735;3;4;48.068;11.626;Germany;Bavaria;Munich;Unterhaching
283;959.077;2;4;48.064;11.618;Germany;Bavaria;Munich;Unterhaching
284;197.794;1;3;48.066;11.621;Germany;Bavaria;Munich;Unterhaching
285;198.959;3;3;48.064;11.617;Germany;Bavaria;Munich;Unterhaching
286;62.283;3;3;48.065;11.618;Germany;Bavaria;Munich;Unterhaching
287;1592.225;0;4;48.066;11.622;Germany;Bavaria;Munich;Unterhaching
288;94.046;3;4;48.063;11.614;Germany;Bavaria;Munich;Unterhaching
289;133.313;3;4;48.064;11.616;Germany;Bavaria;Munich;Unterhaching
290;138.314;3;4;48.063;11.616;Germany;Bavaria;Munich;Unterhaching
291;139.036;3;4;48.064;11.616;Germany;Bavaria;Munich;Unterhaching
292;57.378;3;4;48.065;11.618;Germany;Bavaria;Munich;Unterhaching
293;145.359;3;4;48.064;11.615;Germany;Bavaria;Munich;Unterhaching
294;140.818;1;2;48.066;11.620;Germany;Bavaria;Munich;Unterhaching
295;98.035;3;4;48.065;11.616;Germany;Bavaria;Munich;Unterhaching
296;102.855;3;3;48.065;11.618;Germany;Bavaria;Munich;Unterhaching
297;428.316;3;4;48.064;11.615;Germany;Bavaria;Munich;Unterhaching
298;129.756;0;2;48.066;11.620;Germany;Bavaria;Munich;Unterhaching
299;117.987;3;2;48.067;11.627;Germany;Bavaria;Munich;Unterhaching
300;410.374;3;4;48.067;11.625;Germany;Bavaria;Munich;Unterhaching
301;723.503;3;4;48.063;11.615;Germany;Bavaria;Munich;Unterhaching
302;400.601;3;3;48.065;11.619;Germany;Bavaria;Munich;Unterhaching
303;57.169;1;4;48.066;11.621;Germany;Bavaria;Munich;Unterhaching
304;425.236;3;4;48.063;11.616;Germany;Bavaria;Munich;Unterhaching
305;140.317;3;3;48.067;11.618;Germany;Bavaria;Munich;Unterhaching
306;111.433;3;4;48.065;11.617;Germany;Bavaria;Munich;Unterhaching
307;215.178;1;4;48.066;11.622;Germany;Bavaria;Munich;Unterhaching
308;141.792;3;4;48.063;11.614;Germany;Bavaria;Munich;Unterhaching
309;241.420;3;4;48.067;11.619;Germany;Bavaria;Munich;Unterhaching
310;84.464;3;4;48.064;11.615;Germany;Bavaria;Munich;Unterhaching
311;274.973;3;4;48.062;11.616;Germany;Bavaria;Munich;Unterhaching
312;667.151;3;4;48.067;11.627;Germany;Bavaria;Munich;Unterhaching
313;85.179;3;4;48.064;11.617;Germany;Bavaria;Munich;Unterhaching
314;150.885;3;4;48.064;11.614;Germany;Bavaria;Munich;Unterhaching
315;291.420;3;3;48.065;11.617;Germany;Bavaria;Munich;Unterhaching
316;241.137;3;4;48.065;11.617;Germany;Bavaria;Munich;Unterhaching
317;111.339;3;4;48.067;11.619;Germany;Bavaria;Munich;Unterhaching
318;369.613;3;4;48.064;11.614;Germany;Bavaria;Munich;Unterhaching
319;181.612;1;3;48.066;11.620;Germany;Bavaria;Munich;Unterhaching
320;122.718;3;3;48.067;11.627;Germany;Bavaria;Munich;Unterhaching
321;634.276;3;4;48.067;11.626;Germany;Bavaria;Munich;Unterhaching
322;215.057;3;4;48.064;11.616;Germany;Bavaria;Munich;Unterhaching
323;358.143;3;3;48.065;11.619;Germany;Bavaria;Munich;Unterhaching
324;398.912;3;3;48.065;11.618;Germany;Bavaria;Munich;Unterhaching
325;472.449;1;3;48.066;11.620;Germany;Bavaria;Munich;Unterhaching
326;460.282;3;4;48.064;11.616;Germany;Bavaria;Munich;Unterhaching
327;2104.942;0;4;48.064;11.618;Germany;Bavaria;Munich;Unterhaching
328;83.502;3;4;48.065;11.617;Germany;Bavaria;Munich;Unterhaching
329;52.887;1;3;48.066;11.621;Germany;Bavaria;Munich;Unterhaching
330;138.072;3;4;48.063;11.614;Germany;Bavaria;Munich;Unterhaching
331;131.880;3;4;48.064;11.616;Germany;Bavaria;Munich;Unterhaching
332;5168.838;1;4;48.067;11.623;Germany;Bavaria;Munich;Unterhaching
333;58.244;3;3;48.067;11.626;Germany;Bavaria;Munich;Unterhaching
334;133.972;3;4;48.066;11.625;Germany;Bavaria;Munich;Unterhaching
335;71.568;3;4;48.067;11.627;Germany;Bavaria;Munich;Unterhaching
336;85.927;3;4;48.067;11.625;Germany;Bavaria;Munich;Unterhaching
337;469.351;3;4;48.066;11.626;Germany;Bavaria;Munich;Unterhaching
338;124.451;3;3;48.066;11.625;Germany;Bavaria;Munich;Unterhaching
339;400.286;3;4;48.063;11.625;Germany;Bavaria;Munich;Unterhaching
340;334.366;3;4;48.066;11.627;Germany;Bavaria;Munich;Unterhaching
341;120.898;3;3;48.066;11.625;Germany;Bavaria;Munich;Unterhaching
342;278.236;3;4;48.063;11.624;Germany;Bavaria;Munich;Unterhaching
343;65.478;3;4;48.066;11.627;Germany;Bavaria;Munich;Unterhaching
344;55.880;3;4;48.066;11.625;Germany;Bavaria;Munich;Unterhaching
345;510.639;3;4;48.066;11.626;Germany;Bavaria;Munich;Unterhaching
346;363.008;3;3;48.065;11.626;Germany;Bavaria;Munich;Unterhaching
347;74.355;3;4;48.067;11.627;Germany;Bavaria;Munich;Unterhaching
