Unterchaching_mod;;;;;;;;;;;;;;;;;;;;;;;
bid;footprint_area;use;free_walls;lat;lon;dist_to_heat_source;NUTS_0;NUTS_1;NUTS_2;NUTS_3;year_class;size_class;ref_level_roof;ref_level_wall;ref_level_floor;ref_level_window;floors;area_corr_factor;storey_area;heated_area;dwellings;dwelling_size;occupants
272;252.894;3;4;48.064;11.616;1594.874;;;;;;;;;;;;;;;;;
273;144.427;3;4;48.064;11.614;1482.133;;;;;;;;;;;;;;;;;
274;85.356;1;2;48.066;11.620;1965.123;;;;;;;;;;;;;;;;;
275;153.676;3;3;48.065;11.616;1631.433;;;;;;;;;;;;;;;;;
276;262.479;3;3;48.065;11.618;1758.332;;;;;;;;;;;;;;;;;
277;181.490;1;4;48.066;11.621;2063.322;;;;;;;;;;;;;;;;;
278;772.396;3;4;48.066;11.624;2212.679;;;;;;;;;;;;;;;;;
279;222.009;3;4;48.063;11.615;1504.200;;;;;;;;;;;;;;;;;
280;126.820;1;2;48.066;11.620;1974.253;;;;;;;;;;;;;;;;;
281;539.587;3;4;48.064;11.615;1546.822;;;;;;;;;;;;;;;;;
282;469.735;3;4;48.068;11.626;2441.581;;;;;;;;;;;;;;;;;
283;959.077;2;4;48.064;11.618;1724.807;;;;;;;;;;;;;;;;;
284;197.794;1;3;48.066;11.621;2004.632;;;;;;;;;;;;;;;;;
285;198.959;3;3;48.064;11.617;1641.685;;;;;;;;;;;;;;;;;
286;62.283;3;3;48.065;11.618;1754.913;;;;;;;;;;;;;;;;;
287;1592.225;0;4;48.066;11.622;2105.931;;;;;;;;;;;;;;;;;
288;94.046;3;4;48.063;11.614;1405.415;;;;;;;;;;;;;;;;;
289;133.313;3;4;48.064;11.616;1605.059;;;;;;;;;;;;;;;;;
290;138.314;3;4;48.063;11.616;1501.217;;;;;;;;;;;;;;;;;
291;139.036;3;4;48.064;11.616;1628.672;;;;;;;;;;;;;;;;;
292;57.378;3;4;48.065;11.618;1764.175;;;;;;;;;;;;;;;;;
293;145.359;3;4;48.064;11.615;1500.400;;;;;;;;;;;;;;;;;
294;140.818;1;2;48.066;11.620;1951.397;;;;;;;;;;;;;;;;;
295;98.035;3;4;48.065;11.616;1654.880;;;;;;;;;;;;;;;;;
296;102.855;3;3;48.065;11.618;1746.593;;;;;;;;;;;;;;;;;
297;428.316;3;4;48.064;11.615;1513.504;;;;;;;;;;;;;;;;;
298;129.756;0;2;48.066;11.620;1958.533;;;;;;;;;;;;;;;;;
299;117.987;3;2;48.067;11.627;2472.743;;;;;;;;;;;;;;;;;
300;410.374;3;4;48.067;11.625;2348.543;;;;;;;;;;;;;;;;;
301;723.503;3;4;48.063;11.615;1485.974;;;;;;;;;;;;;;;;;
302;400.601;3;3;48.065;11.619;1829.438;;;;;;;;;;;;;;;;;
303;57.169;1;4;48.066;11.621;2009.446;;;;;;;;;;;;;;;;;
304;425.236;3;4;48.063;11.616;1586.505;;;;;;;;;;;;;;;;;
305;140.317;3;3;48.067;11.618;1878.165;;;;;;;;;;;;;;;;;
306;111.433;3;4;48.065;11.617;1748.544;;;;;;;;;;;;;;;;;
307;215.178;1;4;48.066;11.622;2081.761;;;;;;;;;;;;;;;;;
308;141.792;3;4;48.063;11.614;1419.390;;;;;;;;;;;;;;;;;
309;241.420;3;4;48.067;11.619;1978.339;;;;;;;;;;;;;;;;;
310;84.464;3;4;48.064;11.615;1564.332;;;;;;;;;;;;;;;;;
311;274.973;3;4;48.062;11.616;1523.480;;;;;;;;;;;;;;;;;
312;667.151;3;4;48.067;11.627;2438.478;;;;;;;;;;;;;;;;;
313;85.179;3;4;48.064;11.617;1614.253;;;;;;;;;;;;;;;;;
314;150.885;3;4;48.064;11.614;1500.909;;;;;;;;;;;;;;;;;
315;291.420;3;3;48.065;11.617;1688.655;;;;;;;;;;;;;;;;;
316;241.137;3;4;48.065;11.617;1721.872;;;;;;;;;;;;;;;;;
317;111.339;3;4;48.067;11.619;1972.961;;;;;;;;;;;;;;;;;
318;369.613;3;4;48.064;11.614;1475.095;;;;;;;;;;;;;;;;;
319;181.612;1;3;48.066;11.620;1944.977;;;;;;;;;;;;;;;;;
